Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
1,40571707,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,40611704,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,40651703,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,40691705,0.0000,0.0000,0.0000,0.00,0.00,1.95,Pull
1,40731704,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,58816586,5.6250,0.0000,0.0000,0.00,0.00,0.00,Pull
1,59676049,5.6250,0.0000,0.0000,0.00,0.00,0.00,Pull
1,59716053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,59756054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,59796054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,59836054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,59876055,0.0000,0.0000,0.0000,0.00,0.00,1.95,Pull
1,59916052,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,59956055,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,59996053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60036055,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60076053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60116054,0.0000,0.0000,0.0000,46.88,0.00,0.00,Pull
1,60156055,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60196054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60236055,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60276053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60316056,13.7930,-12.9985,0.1250,46.88,0.00,0.00,Pull
1,60356054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60396054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60436053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60476053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60516052,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60556053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60596053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60636054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60676054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60716055,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60756054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60796054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60836053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60876056,-2.1392,-11.9985,0.1250,46.88,0.00,0.00,Pull
1,60916053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,60956056,13.7637,-11.7485,0.1250,46.88,0.00,0.00,Pull
1,60996054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,61036053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,61076055,0.0000,0.0000,0.1250,46.88,0.00,0.00,Pull
1,61116054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,61156055,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,61196052,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,61236054,0.0000,0.0000,0.1250,46.88,0.00,0.00,Pull
1,61276054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,61316053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,61356053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
1,61396053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
2,63716054,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
2,63756053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
2,63796053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
2,63836053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
2,63876053,0.0000,0.0000,0.0000,0.00,0.00,0.00,Pull
