Recording ID,Timestamp,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Shot Type
2,50253712,0.0005,-0.6016,1.0757,-60.79,-16.17,-7.63,Stationary
2,50313713,0.0107,-0.7612,1.2202,-65.37,-6.04,-2.50,Stationary
2,50373715,0.0903,-0.9814,1.3237,-48.16,-5.43,1.40,Stationary
2,50433712,0.1543,-1.0757,1.5547,2.08,5.31,2.75,Stationary
2,50493715,0.1523,-0.8208,1.3882,62.68,-0.61,6.16,Stationary
2,50553714,0.0991,-0.5898,1.1904,93.63,0.85,3.91,Stationary
2,50613713,0.0591,-0.3667,0.9648,97.35,6.65,-0.98,Stationary
2,50673713,0.0142,-0.2739,0.8687,87.77,-5.43,-3.48,Stationary
2,50733712,0.0303,-0.1836,0.7964,72.75,-7.81,-0.55,Stationary
2,50793713,0.0635,-0.1631,0.8994,54.08,-16.97,4.03,Stationary
2,50853713,0.0776,-0.1821,1.0176,28.44,-0.12,5.13,Stationary
2,50913713,0.0830,-0.1846,0.9722,16.36,-12.51,7.08,Stationary
2,50973712,0.0610,-0.1597,0.8726,17.58,-17.21,9.28,Stationary
2,51033712,0.0161,-0.0996,0.7920,20.02,-23.13,8.30,Stationary
2,51093714,-0.0454,-0.0312,0.8159,13.18,-15.20,5.43,Stationary
2,51153714,-0.0337,-0.0303,1.0654,-9.09,-16.60,-2.38,Stationary
2,51213712,-0.0254,-0.0986,1.2207,-16.30,-10.01,-12.63,Stationary
2,51273713,-0.0186,-0.1162,1.3667,-7.63,6.23,-17.21,Stationary
2,51333714,-0.0142,-0.1030,1.1050,12.08,8.42,-7.63,Stationary
2,51393713,-0.0068,-0.0098,0.8345,26.25,-13.61,10.99,Stationary
2,51453713,-0.0771,0.0410,0.7700,10.07,-8.42,16.78,Stationary
2,51513714,-0.1211,0.0425,1.2261,-29.60,-23.07,6.53,Stationary
2,51573714,0.0684,-0.2104,1.5078,-22.95,36.56,-7.02,Stationary
2,51633714,0.0952,-0.1641,1.3140,47.42,-23.56,12.08,Stationary
2,51693714,-0.0210,0.0918,1.0894,71.84,-37.11,20.45,Stationary
2,51753712,-0.0830,0.1177,0.7534,49.44,-23.13,6.96,Stationary
2,51813712,-0.1084,0.1377,0.6699,9.89,6.90,-11.90,Stationary
2,51873713,-0.0640,0.1924,1.1855,-39.25,-13.18,-27.04,Stationary
2,51933713,0.2056,-0.1523,1.5859,-53.71,5.86,-34.06,Stationary
2,51993715,-0.0005,-0.1392,1.3862,21.67,-0.06,-26.92,Stationary
2,52053714,-0.1357,0.1055,1.0107,55.66,0.18,-9.77,Stationary
2,52113715,-0.0938,0.2271,0.7651,29.79,5.31,3.42,Stationary
2,52173712,-0.0400,0.1699,0.7437,-0.37,1.53,7.51,Stationary
2,52233715,-0.0723,0.1084,0.9033,-17.09,-25.88,-0.06,Stationary
3,54333715,-0.1777,-0.0845,1.0898,-3.97,-15.32,-1.89,Stationary
3,54393715,-0.1987,-0.0977,1.0640,-0.12,-21.85,0.98,Stationary
3,54453713,-0.1636,-0.1147,1.0977,-1.53,-21.12,4.21,Stationary
3,54513714,-0.1143,-0.1006,1.0806,-3.78,-26.67,9.89,Stationary
3,54573714,-0.1499,-0.0854,1.1177,-1.71,-24.48,11.41,Stationary
3,54633712,-0.1206,-0.1182,1.1387,1.59,-12.02,9.22,Stationary
3,54693712,-0.0308,-0.0840,1.1509,8.12,-14.28,4.46,Stationary
3,54753713,-0.0366,-0.1460,1.0889,13.18,-25.45,5.80,Stationary
3,54813712,0.0483,-0.1260,0.9312,17.33,-4.46,-2.08,Stationary
3,54873713,-0.0708,-0.0410,1.0132,9.40,-6.96,-12.15,Stationary
3,54933713,-0.0122,-0.1055,0.9399,5.68,-34.48,-5.92,Stationary
3,54993715,-0.0933,-0.0498,0.8931,2.44,-46.94,4.15,Stationary
3,55053712,-0.0474,-0.0840,1.0059,-9.28,-29.48,2.14,Stationary
3,55113712,-0.0249,-0.1108,1.3188,-3.48,-15.56,-6.84,Stationary
3,55173714,-0.0635,-0.0444,1.4663,23.68,-32.59,-12.39,Stationary
3,55233712,-0.1245,0.0396,1.3413,56.09,-17.21,-15.81,Stationary
3,55293713,-0.1055,0.1558,1.0718,69.40,-11.96,-6.71,Stationary
3,55353713,-0.1919,0.1099,0.7886,51.33,33.08,-3.05,Stationary
3,55413715,-0.1230,0.1021,0.5693,18.74,18.55,-3.23,Stationary
3,55473715,-0.1187,0.0703,0.5864,-13.98,-4.52,-3.30,Stationary
3,55533715,-0.1309,0.0952,0.9922,-48.34,-28.63,-12.21,Stationary
3,55593714,-0.1191,0.0142,1.3091,-60.30,-14.40,-24.17,Stationary
3,55653714,-0.0605,0.0151,1.4946,-26.12,-15.20,-19.23,Stationary
3,55713714,-0.1270,0.0947,1.3965,22.95,-10.13,1.22,Stationary
3,55773714,-0.1406,0.2017,1.0835,40.77,-6.41,19.78,Stationary
3,55833714,-0.1733,0.1357,0.7666,22.89,19.41,20.45,Stationary
3,55893715,-0.1362,0.0142,0.6143,-13.18,10.25,13.43,Stationary
3,55953712,-0.1089,-0.0181,0.8389,-45.84,-24.35,5.86,Stationary
3,56013712,-0.0859,0.0132,1.2515,-60.18,-49.26,-4.21,Stationary
3,56073712,-0.0693,-0.0576,1.2715,-43.46,-16.72,-13.18,Stationary
3,56133713,-0.1294,0.0322,1.1670,-18.37,-23.93,-8.42,Stationary
3,56193713,-0.1494,0.0435,1.0854,-15.81,-11.84,-1.53,Stationary
3,56253714,-0.1680,-0.0181,1.0386,-19.47,-9.40,2.87,Stationary
3,56313712,-0.1377,-0.0879,1.1562,-26.12,-5.92,3.78,Stationary
3,56373713,-0.1240,-0.2197,1.3701,-10.13,1.65,0.67,Stationary
3,56433714,-0.0957,-0.1323,1.4072,27.16,-0.85,2.62,Stationary
3,56493713,-0.1006,-0.0205,1.0278,52.37,1.71,8.91,Stationary
3,56553713,-0.1543,0.0640,0.7217,33.81,10.31,7.81,Stationary
3,56613714,-0.2046,0.0601,0.4727,-9.34,-1.34,1.04,Stationary
3,56673715,-0.1699,0.0439,0.5444,-55.05,-17.82,-8.97,Stationary
3,56733714,-0.0708,-0.2188,0.9019,-84.90,-39.61,-17.09,Stationary
3,56793712,-0.1802,-0.4521,1.4272,-76.05,-21.73,-22.71,Stationary
3,56853713,-0.1763,-0.5215,1.5845,-51.39,10.07,-26.31,Stationary
3,56913714,-0.2324,-0.4663,1.5254,7.39,-5.31,-8.18,Stationary
3,56973715,-0.2495,-0.3188,1.4399,50.11,-8.36,14.77,Stationary
3,57033714,-0.2070,-0.1777,1.2812,80.32,-0.31,32.29,Stationary
3,57093715,-0.1367,-0.0400,1.1230,106.87,23.74,40.34,Stationary
